file,bits,method,snr_db,mse,subjective
sing_low1.wav,8,a_law,13.798902260710529,9.731568662299683e-07,noisy but intelligible
sing_low1.wav,8,mu_law,33.51786889119091,1.0382123434016495e-08,good
sing_low1.wav,8,dpcm_np1,6.516311152603005,5.205254424972696e-06,poor / distorted
sing_low1.wav,8,dpcm_np3,4.2622229464017085,8.74683194990133e-06,poor / distorted
sing_low1.wav,7,a_law,13.552549610176461,1.0299546822217291e-06,noisy but intelligible
sing_low1.wav,7,mu_law,27.46212588528381,4.18659054886462e-08,good
sing_low1.wav,7,dpcm_np1,0.40030755480823543,2.1283464422877603e-05,poor / distorted
sing_low1.wav,7,dpcm_np3,-1.8670599393519534,3.5873939486430045e-05,poor / distorted
sing_low1.wav,6,a_law,12.879948282800589,1.2024810721111005e-06,noisy but intelligible
sing_low1.wav,6,mu_law,21.32501931909582,1.7201691132483186e-07,audible artifacts
sing_low1.wav,6,dpcm_np1,-6.054894094958545,9.409412039796846e-05,poor / distorted
sing_low1.wav,6,dpcm_np3,-7.974071849754303,0.00014637950097371274,poor / distorted
sing_low1.wav,5,a_law,8.731382808765272,3.125610062735755e-06,poor / distorted
sing_low1.wav,5,mu_law,15.100875197759313,7.210834990994796e-07,noisy but intelligible
sing_low1.wav,5,dpcm_np1,-12.695182134297253,0.0004341015042040201,poor / distorted
sing_low1.wav,5,dpcm_np3,-14.127756309822878,0.0006037382732117385,poor / distorted
sing_low1.wav,4,a_law,6.428556402779652,5.31150307212563e-06,poor / distorted
sing_low1.wav,4,mu_law,8.4272857670091,3.3523125319478298e-06,poor / distorted
sing_low1.wav,4,dpcm_np1,-19.371094719571506,0.0020192149323633186,poor / distorted
sing_low1.wav,4,dpcm_np3,-20.388249790713033,0.002552102167409706,poor / distorted
sing_low1.wav,3,a_law,-0.6713375011477105,2.7239982698542814e-05,poor / distorted
sing_low1.wav,3,mu_law,1.6356138754531853,1.6014437532145788e-05,poor / distorted
sing_low1.wav,3,dpcm_np1,-26.20593909059044,0.00974242309747827,poor / distorted
sing_low1.wav,3,dpcm_np3,-26.98031802795014,0.011644071943321808,poor / distorted
